Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of Incident,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Organisation Affected,Programme Focus,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Known Kidnapping or Arrest Outcome,Aid Workers Killed in Captivity,International Aid Workers Killed,International Aid Workers Killed in Captivity,National Aid Workers Killed,National Aid Workers Killed in Captivity,Female Aid Workers Killed,Female Aid Workers Killed in Captivity,Male Aid Workers Killed,Male Aid Workers Killed in Captivity,International Aid Workers Injured,National Aid Workers Injured,Female Aid Workers Injured,Male Aid Workers Injured,International Aid Workers Kidnapped,National Aid Workers Kidnapped,Female Aid Workers Kidnapped,Male Aid Workers Kidnapped,International Aid Workers Arrested,National Aid Workers Arrested,Female Aid Workers Arrested,Male Aid Workers Arrested,SiND Event ID
2023-02-28,February 2023: INGO staff arrested by GDI for personal issues not related to activities. ,Afghanistan,AFG,Kunduz Province,36.7,68.8,"(3) District, Communicipality or Commune ",No information,Police,General Directorate of Intelligence,Firearms,INGO,Economic,0,0,0,1,No information,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45067
2023-02-27,February 2023: An INGO aid worker was injured during a suspected robbery at his home.,Lesotho,LSO,Maseru District,-29.3,27.4,(2) 25 km Precision ,Home,Criminal,Criminal,Firearms,INGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44452
2023-02-26,February 2023: An INGO WASH Officer was arrested by the police and worngly accused of taking part in break-ins in the city. He was released 4 hours later when the police learned the satff had just arrived in the city.,Tanzania,TZA,Northern Zone,-3.3,35.6,(2) 25 km Precision ,Other,Police,Tanzania police,Firearms,INGO,WASH,0,0,0,1,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,45538
2023-02-26,February 2023: A Palestinian volunteer was shot and killed by Israeli settlers. ,OPT,PSE,Judea and Samaria,,,censored by HDX,No information,Civilian,Israeli settlers,Firearms,NGO,Multiple,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38811
2023-02-25,February 2023: A national INGO worker was killed by Murle Tribesman during an ambush for the villagers.  ,South Sudan,SSD,Jonglei,7.6,31.4,(2) 25 km Precision ,Open Space,NSA,Murle,Firearms,INGO,No information,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38093
2023-02-25,February 2023: A female INGO national worker was assaulted and kidnapped by an alleged Lango age-set group and taken to an isolated area. The woman managed to escape and was medically evacuated. ,South Sudan,SSD,Greater Pibor Administrative Area,6.5,33.6,(2) 25 km Precision ,Public Building,NSA,Unidentified armed actor,Firearms,INGO,No information,0,1,1,0,Escaped,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,38090
2023-02-23,February 2023: An INGO aid worker was targeted and injured at a project site by an unidentified perpetrator.,Greece,GRC,Macedonia and Thrace,40.6,22.9,"(3) District, Communicipality or Commune ",Project site,No Information,Unidentified armed actor,No Information on the Weapon Used,INGO,No information,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44453
2023-02-23,February 2023: Three INGO international staff had their phones confiscated  allegedly for taking pictures of the presidential palace.  ,DRC,COD,Kinshasa,-4.3,15.2,(2) 25 km Precision ,Open Space,Police,DRC National Police,Firearms,INGO,Economic,0,0,0,3,Freed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,45135
2023-02-22,February 2023: Two PRCS staff members were injured when their ambulance was shot at by the Israeli Defence Force as they tried to walk to rescue a young patient from their home.,OPT,PSE,West Bank,,,censored by HDX,Road,Host Government: Military,Israeli Defence Forces,Firearms,Red Cross (Nat Soc),Health,0,2,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,37982
2023-02-22,February 2023: Two INGO aid workers (one national and one international) were assaulted by unidentified perpetrators.,South Sudan,SSD,No Information,8.0,29.7,(6) Country,No information,No Information,Unidentified armed actor,Unarmed Perpetrator,INGO,No information,0,2,0,0,,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,44284
