SiND Event ID,Date,Country,Country ISO,Admin 1,Latitude,Longitude,Event Description,Reported Perpetrator,Reported Perpetrator Name,Aid Workers Killed,Aid Workers Injured,Aid Workers Kidnapped,Aid Workers Arrested,Sector Affected,Launch Type,Type of SV,Survivor Or Victim Sex,Adult or Minor ,dataset
43203,2023-10-24T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"24 October 2023: In Al-Bureij camp, a nurse was killed alongside his family, including his father who was also a nurse, when Israeli airstrikes hit their home.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Protection']",['Air-Launched: Plane'],,,,['weapons']
43204,2023-12-21T00:00:00.000Z,OPT,PSE,Gaza Strip,,,21 December 2023: A pharmacist was killed in an Israeli airstrike as he was walking in his neighbourhood. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43205,2023-12-24T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"24 December 2023: In Al-Maghazi Refugee Camp, 70 Palestinians were killed and an unspecified number of others injured when Israeli airstrikes hit three homes inside the camp around 21:00. An unknown number of people are believed to be trapped under the rubble. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43207,2023-12-02T00:00:00.000Z,OPT,PSE,Gaza Strip,,,02 December 2023: President of a University killed along with his family in an Israeli airstrike. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43208,2023-12-04T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"04 December 2023: Israeli forces bombed UNRWA school housing displaced people, killing an unspecified number of people. 
",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Education', 'Aid Operations']",['Unspecified Launch Method'],,,,['weapons']
43209,2023-12-24T00:00:00.000Z,OPT,PSE,Gaza Strip,,,24 December 2023: An Israeli drone struck a medical facility killing a 13-year-old boy.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Health Care', 'Aid Operations']",['Air-Launched: Drone'],,,,['weapons']
43210,2023-12-25T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"25 December 2023: In Al-Maghazi Refugee Camp, at least 90 Palestinians were killed during a wave of airstrikes by Israeli forces, that started just before midnight on Christmas Eve and continued during Christmas day. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43211,2023-12-05T00:00:00.000Z,OPT,PSE,Gaza Strip,,,05 December 2023: Israeli forces bombed the vicinity of a school housing displaced people. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Unspecified Launch Method'],,,,['weapons']
43215,2023-12-07T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"07 December 2023: University professor killed when a targeted Israeli airstrike hit his sisters home, killing his siblings and nephews/nieces as well. 
",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43217,2023-12-27T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"27 December 2023: In Al-Maghazi Refugee Camp, at about 9:15, Israeli forces struck the UNRWA Preparatory School for Girls, killing at least five Palestinians, and injuring several others. The school was sheltering IDPs and was evacuated following the strike. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Protection', 'Aid Operations']",['Ground-Launched'],,,,['weapons']
43220,2023-12-30T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"30 December 2023: In Al-Maghazi Refugee Camp,16 Palestinians were killed when two Israeli airstrikes hit two familyâ€™s homes.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43221,2023-12-31T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"31 December 2023: In Al-Maghazi Refugee Camp,eight family members were reportedly killed and another ten were injured, including women and children, when multiple residences inside a Refugee Camp were hit.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Unspecified Launch Method'],,,,['weapons']
43222,2023-12-27T00:00:00.000Z,Ukraine,UKR,Kherson Oblast,46.8,33.4,27 December 2023: A medical facility was damaged in a Russian drone strike. An employee received shrapnel wounds.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Drone'],,,,['weapons']
43223,2023-12-06T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"06 December 2023: In Al-Shaboura Refugee Camp, 18 people including 11 children, five women and two elderly persons were killed when an Israeli airstrike hit their home inside a Refugee Camp.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43225,2023-12-12T00:00:00.000Z,OPT,PSE,Gaza Strip,,,12 December 2023: An unspecified number of people were killed and injured when an Israeli airstrike hit their home inside a refugee camp in the evening.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43226,2023-12-03T00:00:00.000Z,OPT,PSE,Gaza Strip,,,03 December 2023: Four IDPs were killed and seven injured when a school sheltering displaced people was hit by suspected Israeli airstrikes. ,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Education', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
43227,2023-12-29T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,50.0,36.2,"29 December 2023: An endocrinology medical facility was damaged a Russian missile attack on the city. Windows and doors were blown out and medical equipment was damaged. As a result, the medical facility cannot provide full care to patients.",Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43228,2023-11-27T00:00:00.000Z,Myanmar,MMR,Bago Region,17.6,96.8,November 2023: A medical facility was hit with an artillery shell by the ‘Karen National Liberation Army’ and 'People's Defence Force' who were targeting the Myanmar military. At least 15 healthcare workers fled from the medical facility on 28 November.,Multiple,"Karen National Liberation Army, People's Defence Force (Myanmar)",0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
43229,2023-12-18T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"18 December 2023: In Bashit Refugee Camp, at least eight people were killed, including at least three children, with many others injured, when a residential building was hit by Israeli forces.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43230,2023-12-29T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,50.0,36.2,29 December 2023: A hospital and its polyclinic department were damaged during a Russian missile attack on the city. A fire broke out and an emergency vehicle was damaged.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Air-Launched: Plane'],,,,['weapons']
43231,2023-12-01T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"01 December 2023: In Rafah Refugee Camp, five people were killed in Israeli airstrikes at 11:20. ",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43232,2023-12-29T00:00:00.000Z,Ukraine,UKR,Kharkiv Oblast,49.9,36.2,29 December 2023: A school was damaged by a Russian missile attack on the city.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Education'],['Air-Launched: Plane'],,,,['weapons']
43234,2023-12-01T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"01 December 2023: In Rafah Refugee Camp, four people were killed in Israeli airstrikes at 07:30.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43235,2024-01-06T00:00:00.000Z,Ukraine,UKR,Donetsk Oblast,48.2,37.1,06 January 2024: A city medical facility was hit by Russian missiles while surgery was ongoing there. Both the patient and medical staff were injured by glass fragments. ,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
43236,2024-01-06T00:00:00.000Z,Ukraine,UKR,Donetsk Oblast,47.9,37.2,06 January 2024: The infectious diseases department of a medical facility was damaged by Russian shelling. A health worker was injured.,Foreign Forces: Military,Armed Forces of the Russian Federation,0.0,0.0,0.0,0.0,['Health Care'],['Ground-Launched'],,,,['weapons']
43237,2023-12-23T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"23 December 2023: In Nuseirat Refugee Camp, two people were killed when two UNRWA schools were hit.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,"['Protection', 'Aid Operations']",['Air-Launched: Plane'],,,,['weapons']
43238,2023-12-06T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"06 December 2023: In Nuseirat Refugee Camp, ten people were killed and dozens injured by an Israeli airstrike.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43239,2023-12-04T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"December 2023: In Al-Shaboura Refugee Camp, at least five Palestinians were killed when a home was hit at about 19:20.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43241,2023-12-12T00:00:00.000Z,OPT,PSE,Gaza Strip,,,12 December 2023: Eight Palestinians were killed when an Israeli airstrike hit their home inside a refugee camp.,Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43243,2023-12-13T00:00:00.000Z,OPT,PSE,Gaza Strip,,,"13 December 2023: In Al-Shaboura Refugee Camp, seven children, five women and two men were killed when an Israeli airstrike hit two houses belonging to a family inside the camp.",Host Government: Military,Israeli Defence Forces,0.0,0.0,0.0,0.0,['Protection'],['Air-Launched: Plane'],,,,['weapons']
43244,2023-09-12T00:00:00.000Z,Syria,SYR,Aleppo Governorate,36.1,37.3,,No Information,Unidentified Armed Actor,0.0,0.0,0.0,0.0,['Aid Operations'],['UXO'],,,,['weapons']
